0.1.1.0 ;Herflugmaður
0.1.1.0 ;Herforingi
0.1.1.0 ;Hermaður
0.1.1.0 ;Liðsforingi
0.1.1.0 ;Lífeyrisþegi
0.1.1.0 ;Hermenn
1.1.1.0 ;Kjörnir fulltrúar
1.1.1.0 ;Alþingismaður
1.1.1.0 ;Borgarfulltrúi
1.1.1.0 ;Borgarráðsmaður
1.1.1.0 ;Borgarstjórnarfulltrúi
1.1.1.0 ;Bæjarfulltrúi
1.1.1.0 ;Bæjarráðsmaður
1.1.1.0 ;Forseti alþingis
1.1.1.0 ;Forseti borgarstjórnar
1.1.1.0 ;Forseti bæjarráðs
1.1.1.0 ;Forseti íslands
1.1.1.0 ;Héraðsnefndarmaður
1.1.1.0 ;Hreppsnefndarmaður
1.1.1.0 ;Nefndarformaður í nefnd á vegum ríkisins
1.1.1.0 ;Nefndarformaður í nefnd á vegum sveitarfélags
1.1.1.0 ;Nefndarmaður í nefnd á vegum ríkisins
1.1.1.0 ;Nefndarmaður í nefnd á vegum sveitarfélags
1.1.1.0 ;Oddviti
1.1.1.0 ;Ráðherra
1.1.1.0 ;Sveitarstjórnarmaður
1.1.1.0 ;Nefndarmaður í nefnd, stjórn eða ráði á vegum opinberra aðila
1.1.1.0 ;Kjörnir fulltrúar
1.1.2.0 ;Aðalræðismaður
1.1.2.0 ;Aðstoðarmaður ráðherra
1.1.2.0 ;Aðstoðarmaður sveitarstjóra
1.1.2.0 ;Aðstoðarríkislögreglustjóri (aðallega við stjórnun)
1.1.2.0 ;Aðstoðarríkisskattstjóri
1.1.2.0 ;Borgarritari
1.1.2.0 ;Borgarstjóri
1.1.2.0 ;Bæjarritari
1.1.2.0 ;Bæjarstjóri
1.1.2.0 ;Erindreki með fullt umboðsvald
1.1.2.0 ;Fastafulltrúi hjá alþjóðastofnun
1.1.2.0 ;Forsetaritari
1.1.2.0 ;Hreppsstjóri
1.1.2.0 ;Konsúll
1.1.2.0 ;Lögreglustjóri (aðallega við stjórnun)
1.1.2.0 ;Ráðuneytisstjóri
1.1.2.0 ;Ríkisendurskoðandi
1.1.2.0 ;Ríkislögreglustjóri
1.1.2.0 ;Ríkissaksóknari
1.1.2.0 ;Ríkissáttasemjari
1.1.2.0 ;Ríkisskattstjóri
1.1.2.0 ;Ríkistollstjóri
1.1.2.0 ;Ræðismaður
1.1.2.0 ;Sendifulltrúi í utanríkisþjónustu
1.1.2.0 ;Sendiherra
1.1.2.0 ;Skattrannsóknarstjóri
1.1.2.0 ;Skattstjóri
1.1.2.0 ;Skólastjóri lögregluskólans
1.1.2.0 ;Skrifstofustjóri alþingis
1.1.2.0 ;Skrifstofustjóri ráðuneytis
1.1.2.0 ;Staðgengill ráðuneytisstjóra
1.1.2.0 ;Sveitarstjóri
1.1.2.0 ;Sýslumaður
1.1.2.0 ;Tollstjóri
1.1.2.0 ;Tollstjórinn í reykjavík
1.1.2.0 ;Umboðsmaður alþingis
1.1.2.0 ;Umboðsmaður barna
1.1.2.0 ;Varalögreglustjóri
1.1.2.0 ;Vararíkisendurskoðandi
1.1.2.0 ;Vararíkislögreglustjóri
1.1.2.0 ;Vararíkissaksóknari
1.1.2.0 ;Æðstu embættismenn ríkis og sveitarstjórna
1.1.2.0 ;Æðstu embættismenn ríkis og sveitarstjórna
1.1.4.1 ;Æðstu stjórnendur stjórnmálaflokka og flokkssamtaka
1.1.4.1 ;Formaður stjórnmálaflokks
1.1.4.1 ;Framkvæmdastjóri stjórnmálaflokks
1.1.4.1 ;Kosningastjóri stjórnmálaflokks
1.1.4.1 ;Skrifstofustjóri stjórnmálaflokks
1.1.4.1 ;Æðstu stjórnendur stjórnmálaflokka og flokkssamtaka
1.1.4.2 ;Formaður atvinnulífssamtaka
1.1.4.2 ;Forseti heildarsamtaka stéttarfélaga
1.1.4.2 ;Framkvæmdastjóri atvinnulífssamtaka
1.1.4.2 ;Framkvæmdastjóri heildarsamtaka stéttarfélaga
1.1.4.2 ;Framkvæmdastjóri stéttarfélags
1.1.4.2 ;Skrifstofustjóri atvinnulífssamtaka
1.1.4.2 ;Skrifstofustjóri heildarsamtaka stéttarfélaga
1.1.4.2 ;Skrifstofustjóri stéttarfélags
1.1.4.2 ;Æðstu stjórnendur stéttafélaga og heildarsamtaka þeirra, samtaka vinnuveitenda og annarra samtaka atvinnulífs
1.1.4.2 ;Æðstu stjórnendur stéttafélaga og heildarsamtaka þeirra, samtaka vinnuveitenda og annarra samtaka atvinnulífs
1.1.4.3 ;Æðstu stjórnendur líknarsamtaka og annarra sérhagsmunasamtaka
1.1.4.3 ;Formaður dýraverndunarfélags
1.1.4.3 ;Formaður náttúruverndarsamtaka
1.1.4.3 ;Formaður neytendasamtaka
1.1.4.3 ;Formaður umhverfisverndarsamtaka
1.1.4.3 ;Framkvæmdastjóri íþróttasamtaka
1.1.4.3 ;Framkvæmdastjóri líknarsamtaka
1.1.4.3 ;Skrifstofustjóri líknarsamtaka
1.1.4.3 ;Æðstu stjórnendur líknarsamtaka og annarra sérhagsmunasamtaka
1.2.1.0 ;Aðstoðarbankastjóri
1.2.1.0 ;Aðstoðarforstjóri
1.2.1.0 ;Aðstoðarframkvæmdastjóri
1.2.1.0 ;Aðstoðarlögreglustjóri (aðallega við stjórnun)
