1.1.1   ;Barnaskólapróf
1.2.1   ;unglingapróf
2.1.1   ;framhaldsdeildir grunnskóla
2.1.2   ;grunnskólar
2.1.3   ;landspróf miðskóla
2.1.4   ;miðskólapróf
2.1.5   ;tónlistarskólar, 12-15 ára
2.2.1   ;gagnfræðapróf
2.3.1   ;bílasalanám
2.3.2   ;meirapróf atvinnubílstjóra
2.3.3   ;ritaranám, ein önn á framhaldsskólastigi
2.3.4   ;skipstjórn 30 tonna réttindapróf (pungapróf)
2.3.5   ;skrifstofustarfanám, ein önn á framhaldsskólastigi
2.3.6   ;verkstjórnarnám til réttinda verkstjóra
2.3.7   ;þungavinnuvélapróf - meira en 100 klst námskeið
3.1.1   ;búfræðinám
3.1.10  ;lögregluskóli - 1987
3.1.11  ;ritaranám, tvær annir á framhaldsskólastigi
3.1.12  ;samvinnuskólapróf
3.1.13  ;samvinnuskólinn gamli
3.1.14  ;símritaranám
3.1.15  ;skipstjórn, 1. stig
3.1.16  ;skipstjórn, 2. stig
3.1.17  ;skrifstofustarfanám, tvær annir á framhaldsskólastigi
3.1.18  ;stýrimannaskóli, 1. stig
3.1.19  ;stýrimannaskóli, 2. stig
3.1.2   ;framhaldsdeildir gagnfræðastigsskóla
3.1.20  ;tollskólinn, tollvarðanám
3.1.21  ;tónlistarskólar, 7. stig
3.1.22  ;verslunarpróf
3.1.23  ;verslunarskólapróf
3.1.24  ;vélskóli, 2. stig
3.1.25  ;vélstjórn, 2. stig
3.1.3   ;Hljóðfæraleikur, 7. stig
3.1.4   ;húsmæðraskólar 1 vetur amk
3.1.5   ;hússtjórnarnám amk 1 vetur
3.1.6   ;íþróttakennaraskóli - 1973
3.1.7   ;kennaraskólinn gamli
3.1.8   ;kennaraskólinn gamli
3.1.9   ;loftskeytamannspróf
3.2.1   ;aðstoðarmaður tannlæknis
3.2.10  ;lögregluskóli 1988 -
3.2.11  ;nuddskóli
3.2.12  ;símsmiðspróf
3.2.13  ;sjúkraliðanám
3.2.14  ;skipstjórn, 3. stig
3.2.15  ;stýrimannaskóli, 3. stig
3.2.16  ;tækniteiknun
3.2.17  ;vélskóli, 3. stig
3.2.18  ;vélstjórn, 3. stig
3.2.19  ;þroskaþjálfaskóli fram að 1985
3.2.2   ;danskennaranám
3.2.3   ;fiskiðnaðarmannspróf
3.2.4   ;fisktæknipróf
3.2.5   ;garðyrkjuskóli
3.2.6   ;hjúkrunarfræðingspróf fram til 1974
3.2.7   ;íþróttakennaraskóli 1974 - 1992
3.2.8   ;ljósmæðraskóli fyrir 1982
3.2.9   ;lyfjatækninám
3.3.1   ;Almenn ljósmyndun
3.3.10  ;Feldskurður
3.3.11  ;Flugvélavirkjun
3.3.12  ;Framreiðsla
3.3.13  ;Glerslípun og speglagerð
3.3.14  ;Gull- og silfursmíði
3.3.15  ;Hattasaumur
3.3.16  ;Hárgreiðsla
