2.1.1   ;Grunnskóli
2.3.1   ;Tollskóli ríkisins
2.3.2   ;Ökuskóli aukin ökuréttindi meirapróf
2.3.3   ;Ökuskóli almenn ökuréttindi
2.3.4   ;Tónlistarskóli 1. - 6. stig
2.3.4   ;Tónlistarskóli... 1. - 5. stig
2.3.5   ;Flugskóli Einkaflugmannsnám
3.1.1   ;Borgarholtsskóli Almenn braut
3.1.10  ;Fjölbrautaskóli Norðurlands vestra Málmiðnabraut
3.1.100 ;Iðnskólinn í Reykjavík ( IR ) Tréiðnabraut
3.1.101 ;Iðnskólinn í Reykjavík ( IR ) Upplýsinga- og fjölmiðlagreinar starfsnám
3.1.104 ;Menntaskólinn á Egilsstöðum ( ME ) Almenn braut
3.1.105 ;Menntaskólinn á Egilsstöðum ( ME ) Upplýsinga- og fjölmiðlagreinar starfsnám
3.1.106 ;Menntaskólinn á Egilsstöðum ( ME ) Viðskiptabraut
3.1.107 ;Menntaskólinn á Ísafirði ( MÍ ) Almenn braut
3.1.108 ;Menntaskólinn á Ísafirði ( MÍ ) Rafiðnabraut
3.1.11  ;Fjölbrautaskóli Norðurlands vestra Rafiðnabraut
3.1.110 ;Menntaskólinn á Ísafirði ( MÍ ) Vélstjóranám 1.stigs
3.1.111 ;Menntaskólinn á Ísafirði ( MÍ ) Vélstjóranám 2.stigs
3.1.112 ;Menntaskólinn á Ísafirði ( MÍ ) Viðskiptabraut
3.1.113 ;Menntaskólinn í Kópavogi ( MK ) Almenn braut
3.1.114 ;Menntaskólinn í Kópavogi ( MK ) Grunnnám matvælaiðna
3.1.115 ;Menntaskólinn í Kópavogi ( MK ) Hússtjórn, matreiðsla
3.1.116 ;Menntaskólinn í Kópavogi ( MK ) Matsveinanám
3.1.118 ;Menntaskólinn í Kópavogi ( MK ) Viðskiptabraut
3.1.119 ;Fjöltækniskóli Íslands Sjávarútvegsbraut/Skipstjórnarbraut
3.1.120 ;Fjöltækniskóli Íslands Stýrimannanám 1.stigs
3.1.121 ;Fjöltækniskóli Íslands Stýrimannanám 2.stigs
3.1.122 ;Verkmenntaskóli Austurlands Almenn braut
3.1.123 ;Verkmenntaskóli Austurlands Málmtæknibraut
3.1.124 ;Verkmenntaskóli Austurlands Rafiðnabraut
3.1.125 ;Verkmenntaskóli Austurlands Sjávarútvegsbraut/Skipstjórnarbraut
3.1.127 ;Verkmenntaskóli Austurlands Tréiðnabraut
3.1.128 ;Verkmenntaskólinn á Akureyri ( VMA ) Almenn braut
3.1.129 ;Verkmenntaskólinn á Akureyri ( VMA ) Matartæknabraut, fyrri hluti
3.1.13  ;Fjölbrautaskóli Norðurlands vestra Tréiðnabraut
3.1.130 ;Verkmenntaskólinn á Akureyri ( VMA ) Málmiðnabraut
3.1.131 ;Verkmenntaskólinn á Akureyri ( VMA ) Rafiðnabraut
3.1.132 ;Verkmenntaskólinn á Akureyri ( VMA ) Sjúkraliðanám, fyrri hluti
3.1.134 ;Verkmenntaskólinn á Akureyri ( VMA ) Tréiðnabraut
3.1.135 ;Verkmenntaskólinn á Akureyri ( VMA ) Uppeldisbraut
3.1.136 ;Verkmenntaskólinn á Akureyri ( VMA ) Vélstjóranám 1.stigs
3.1.137 ;Verkmenntaskólinn á Akureyri ( VMA ) Vélstjóranám 2.stigs
3.1.138 ;Verkmenntaskólinn á Akureyri ( VMA ) Viðskiptabraut
3.1.14  ;Fjölbrautaskóli Norðurlands vestra Uppeldisbraut
3.1.141 ;Fjöltækniskóli Íslands Vélstjóranám 1.stigs
