0.0.0 ;Kjalarnes
0.0.0 ;Reykjavík
0.0.0 ;Rvk
1.0.0 ;Kópavogur
1.1.0 ;Seltjarnarnes
1.3.0 ;Garðabær
1.4.0 ;Hafnarfjörður
1.6.3 ;Álftanes
1.6.3 ;Bessastaðahreppur
1.6.4 ;Mosfellsbær
1.6.6 ;Kjósarhreppur
2.0.0 ;Hafnahreppur
2.0.0 ;Hafnir
2.0.0 ;Keflavík
2.0.0 ;Keflavíkurflugvöllur
2.0.0 ;Keflavíkurvöllur
2.0.0 ;Njarðvík
2.0.0 ;Reykjanesbær
2.3.0 ;Grindavík
2.5.3 ;Sandgerði
2.5.4 ;Garður
2.5.4 ;Gerðahreppur
2.5.4 ;Sveitarfélagið Garður
2.5.6 ;Sveitarfélagið Vogar
2.5.6 ;Vatnsleysustrandarhr
2.5.6 ;Vogar á vatnsleysuströnd
3.0.0 ;Akranes
3.5.11;Hvalfjarðarstrandarhr
3.5.11;Hvalfjarðarströnd
3.5.11;Hvalfjarðarsveit
3.5.11;Innri-Akraneshreppur
3.5.11;Leirár-og Melahreppur
3.5.11;Skilmannahreppur
3.5.6 ;Skorradalshreppur
3.6.9 ;Andakílshreppur
3.6.9 ;Álftaneshreppur
3.6.9 ;Borgarbyggð
3.6.9 ;Borgarfjarðarsveit
3.6.9 ;Borgarhreppur
3.6.9 ;Borgarnes
3.6.9 ;Hálsahreppur
3.6.9 ;Hraunhreppur
3.6.9 ;Hvítársíðuhreppur
3.6.9 ;Kolbeinsstaðahreppur
3.6.9 ;Lundarreykjadalshr
3.6.9 ;Norðurárdalshreppur
3.6.9 ;Reykholtsdalshreppur
3.6.9 ;Stafholtstungnahr
3.6.9 ;Þverárhlíðarhreppur
3.7.10;Helgafellssveit
3.7.11;Stykkishólmsbær
3.7.11;Stykkishólmur
3.7.13;Eyja- og Miklaholtsh
3.7.13;Eyjarhreppur
3.7.13;Miklaholtshreppur
3.7.14;Breiðuvíkurhreppur
3.7.14;Fróðárhreppur
3.7.14;Hellissandur
3.7.14;Neshreppur
3.7.14;Ólafsvík
3.7.14;Ólafsvíkurhreppur
3.7.14;Rif
3.7.14;Snæfellsbær
3.7.14;Staðarsveit
3.7.9 ;Eyrarsveit
3.7.9 ;Grundarfjörður
3.8.11;Búðardalur
3.8.11;Dalabyggð
3.8.11;Fellsstrandarhreppur
3.8.11;Haukadalshreppur
3.8.11;Hvammshreppur (Dalabyggð)
3.8.11;Hörðudalahreppur
3.8.11;Klofningshreppur
3.8.11;Laxárdalshreppur
3.8.11;Miðdalahreppur
3.8.11;Saurbæjarhreppur (Dalabyggð)
3.8.11;Skarðshreppur (Dalabyggð)
3.8.11;Skógarstrandarhreppur
3.8.11;Suðurdalahreppur
4.1.0 ;Bolungarvík
4.2.0 ;Auðkúluhreppur
4.2.0 ;Eyrarhreppur
4.2.0 ;Flateyrarhreppur
4.2.0 ;Flateyri
4.2.0 ;Grunnavíkurhreppur
4.2.0 ;Hnífsdalur
4.2.0 ;Ísafjarðarbær
4.2.0 ;Ísafjörður
4.2.0 ;Mosvallahreppur
4.2.0 ;Mýrahreppur (Ísafjarðarbæ)
4.2.0 ;Snæfjallahreppur
4.2.0 ;Suðureyrarhreppur
4.2.0 ;Suðureyri
4.2.0 ;Þingeyrarhreppur
4.2.0 ;Þingeyri
4.5.2 ;Flateyjarhreppur á Breiðaf
4.5.2 ;Geirdalshreppur
4.5.2 ;Múlahreppur
4.5.2 ;Reykhólahreppur
4.6.4 ;Tálknafjarðarhreppur
4.6.7 ;Barðastrandarhreppur
4.6.7 ;Barðaströnd
4.6.7 ;Bíldudalshreppur
4.6.7 ;Bíldudalur
4.6.7 ;Ketildalahreppur
4.6.7 ;Patreksfjörður
4.6.7 ;Patrekshreppur
4.6.7 ;Rauðasandshreppur
4.6.7 ;Vesturbyggð
4.8.3 ;Reykjarfjarðarhreppur
4.8.3 ;Súðavíkurhreppur
4.8.3 ;Ögurhreppur
4.9.1 ;Árneshreppur
4.9.11;Broddaneshreppur
4.9.11;Fellshreppur (Strandabyggð)
4.9.11;Hólmav og kirkjbhr.
4.9.11;Hólmavíkurhreppur
4.9.11;Kirkjubólshreppur
4.9.11;Nauteyrarhreppur
4.9.11;Óspakseyrarhreppur
4.9.11;Strandabyggð
4.9.2 ;Kaldrananeshreppur
4.9.4 ;Hrófbergshreppur
5.2.0 ;Fellshreppur (Skagafirði)
5.2.0 ;Fljót
5.2.0 ;Fljótahreppur
5.2.0 ;Haganeshreppur
5.2.0 ;Hofshreppur (Skagafirði)
5.2.0 ;Hofsós
5.2.0 ;Holtshreppur
5.2.0 ;Hólahreppur
5.2.0 ;Lýtingsstaðahreppur
5.2.0 ;Rípurhreppur
5.2.0 ;Sauðárkrókur
5.2.0 ;Seyluhreppur
5.2.0 ;Skagafjörður
5.2.0 ;Skarðshreppur (Skagafirði)
5.2.0 ;Skefilsstaðahreppur
5.2.0 ;Staðarhreppur (Skagafirði)
5.2.0 ;Varmahlíð
5.2.0 ;Viðvíkurhreppur
5.5.8 ;Bæjarhreppur (Strandasýslu)
5.5.8 ;Fremri-Torfustaðahr
5.5.8 ;Húnaþing vestra
5.5.8 ;Hvammstangahreppur
5.5.8 ;Hvammstangi
5.5.8 ;Kirkjuhvammshreppur
5.5.8 ;Staðarhreppur (Húnaþingi)
5.5.8 ;Ytri-Torfustaðahr
5.5.8 ;Þorkelshólshreppur
5.5.8 ;Þverárhreppur
5.6.11;Skagabyggð
5.6.11;Skagahreppur
5.6.11;Vindhælishreppur
5.6.12;Áshreppur
5.6.12;Bólstaðarhlíðarhr
5.6.12;Húnavatnshreppur
5.6.12;Sveinsstaðahreppur
5.6.12;Svínavatnshreppur
5.6.12;Torfalækjarhreppur
5.6.4 ;Blönduós
5.6.4 ;Engihlíðarhreppur
5.6.9 ;Höfðahreppur
5.6.9 ;Skagaströnd
5.7.6 ;Akrahreppur
6.0.0 ;Akureyri
6.0.0 ;Grímseyjarhreppur
6.0.0 ;Hríseyjarhreppur
6.1.0 ;Fjallahreppur
6.1.0 ;Húsavík
6.1.0 ;Kelduneshreppur
6.1.0 ;Norðurþing
6.1.0 ;Presthólahreppur
6.1.0 ;Raufarhafnarhreppur
6.1.0 ;Reykjahreppur
6.1.0 ;Öxarfjarðarhreppur
6.2.50;Fjallabyggð
6.2.50;Ólafsfjörður
6.2.50;Siglufjörður
6.4.0 ;Árskógshreppur
6.4.0 ;Dalvík
6.4.0 ;Dalvíkurbyggð
6.4.0 ;Svarfaðardalshreppur
6.5.13;Eyjafjarðarsveit
6.5.13;Hrafnagilshreppur
6.5.13;Saurbæjarhreppur (Eyjafjarðarsveit)
6.5.13;Öngulstaðahreppur
6.5.14;Arnarneshreppur
6.5.15;Glæsibæjarhreppur
6.5.15;Hörgárbyggð
6.5.15;Hörgársveit
6.5.15;Skriðuhreppur
6.5.15;Öxnadalshreppur
6.6.1 ;Svalbarðsstrandarhr
6.6.11;Tjörneshreppur
6.6.12;Aðaldælahreppur
6.6.12;Bárðdælahreppur
6.6.12;Flateyjarhreppur á Skjálf
6.6.12;Hálshreppur
6.6.12;Ljósavatnshreppur
6.6.12;Reykdælahreppur
6.6.12;Þingeyjarsveit
6.6.2 ;Grenivík
6.6.2 ;Grýtubakkahreppur
6.6.7 ;Skútustaðahreppur
6.7.6 ;Svalbarðshreppur
6.7.9 ;Langanesbyggð
6.7.9 ;Sauðaneshreppur
6.7.9 ;Skeggjastaðahreppur
6.7.9 ;Þórshafnarhreppur
7.0.0 ;Seyðisfjarðarhreppur
7.0.0 ;Seyðisfjörður
7.3.0 ;Austurbyggð
7.3.0 ;Eskifjörður
7.3.0 ;Fjarðabyggð
7.3.0 ;Helgustaðahreppur
7.3.0 ;Mjóafjarðarhreppur
7.3.0 ;Neskaupstaður
7.3.0 ;Norðfjarðarhreppur
7.3.0 ;Reyðarfjarðarhreppur
7.3.0 ;Reyðarfjörður
7.5.2 ;Vopnafjarðarhreppur
7.5.5 ;Fljótsdalshreppur
7.5.9 ;Borgarfjarðarhreppur
7.6.13;Breiðdalshreppur
7.6.17;Beruneshreppur
7.6.17;Búlandshreppur
7.6.17;Djúpavogshreppur
7.6.17;Geithellnahreppur
7.6.19;Búðahreppur
7.6.19;Fáskrúðsfjarðarhr
7.6.19;Stöðvarhreppur
7.6.20;Austur-Hérað
7.6.20;Egilsstaðir
7.6.20;Eiðahreppur
7.6.20;Fellahreppur
7.6.20;Fljótsdalshérað
7.6.20;Hjaltastaðarhreppur
7.6.20;Hlíðarhreppur
7.6.20;Jökuldalshreppur
7.6.20;Norður-Hérað
7.6.20;Skriðdalshreppur
7.6.20;Tunguhreppur
7.6.20;Vallahreppur
7.7.8 ;Borgarhafnarhreppur
7.7.8 ;Bæjarhreppur (Austur-Skaftafellssýslu)
7.7.8 ;Hofshreppur (Hornafirði)
7.7.8 ;Hornafjarðarbær
7.7.8 ;Hornafjörður
7.7.8 ;Höfn í Hornafirði
7.7.8 ;Mýrahreppur (Hornafirði)
7.7.8 ;Nesjahreppur
8.0.0 ;Vestmannaeyjar
8.2.0 ;Árborg
8.2.0 ;Eyrarbakkahreppur
8.2.0 ;Eyrarbakki
8.2.0 ;Sandvíkurhreppur
8.2.0 ;Selfoss
8.2.0 ;Stokkseyrarhreppur
8.2.0 ;Stokkseyri
8.5.8 ;Dyrhólahreppur
8.5.8 ;Hvammshreppur (V-Skaftafellssýslu)
8.5.8 ;Mýrdalshreppur
8.5.9 ;Álftavershreppur
8.5.9 ;Hörglandshreppur
8.5.9 ;Kirkjubæjarhreppur
8.5.9 ;Leiðvallahreppur
8.5.9 ;Skaftárhreppur
